#stn,X,Y,Z,ReceiverName,AntennaName,ClockType
KOS100NLD,3899613.948,397361.592,5014738.666,SEPT POLARX5E,LEIAR25.R3,INTERNAL
KOST00KAZ,1701038.957,3427939.4424,5085671.495,LEICA GR10,LEIAR25.R4,INTERNAL
KOUC00NCL,-5751222.662,1617967.645,-2225744.218,TRIMBLE NETR9,TRM57971.00,INTERNAL
KOUG00GUF,3855263.0,-5049731.0,563040.0,SEPT POLARX5TR,LEIAR25.R3,EXTERNAL CESIUM
KOUR00GUF,3839591.447,-5059567.538,579956.867,SEPT POLARX5,SEPCHOKE_B3E6,EXTERNAL H-MASER
KRGG00ATF,1406336.2099,3918154.6213,-4816172.8453,TRIMBLE ALLOY,LEIAR25.R4,INTERNAL
KRS100TUR,3542999.668,3314720.171,4129002.589,TRIMBLE NETR5,TRM55971.00,INTERNAL
KSMV00JPN,-3997525.381,3276870.936,3724218.516,TRIMBLE NETRS,ASH700936E,EXTERNAL H-MASER
KUJ200CAN,773263.38,-3557025.2,5219841.77,SEPT POLARX5,AOAD/M_T_RFI_T,INTERNAL
KZN200RUS,2352345.7,2717466.1,5251458.5,TRIMBLE ALLOY,TRM59800.00,INTERNAL 
LAE100PNG,-5312857.053,3451108.016,-736322.743,ASHTECH UZ-12,ASH700936A_M,INTERNAL 
LAMA00POL,3524523.0,1329693.0,5129846.0,LEICA GRX1200+GNSS,LEIAT504GG,INTERNAL
LAUT00FJI,-6075194.5,270924.0,-1917189.6,SEPT POLARX5,JAVRINGANT_DM,INTERNAL
LBCH00USA,-2507798.7984,-4676369.6918,3526890.8008,SEPT POLARX5,TWIVC6150,INTERNAL
LCK300IND,894676.3053,5620593.4735,2869571.0496,TRIMBLE ALLOY,LEIAR25.R3,EXTERNAL Passive Hydrogen Maser
LCK400IND,894678.4718,5620595.0084,2869567.4303,TRIMBLE ALLOY,LEIAR25.R3,EXTERNAL Passive Hydrogen Maser
LEIJ00DEU,3898736.2,855345.5,4958372.6,JAVAD TRE_3 DELTA,LEIAR25.R4,INTERNAL
LHAZ00CHN,-106943.5,5549296.14,3139212.6,LEICA GR25,LEIAR25.R4,INTERNAL
LICC00GBR,3978703.569,-12141.038,4968417.218,CHC P5E,CHCC220GR2,INTERNAL
LLAG00ESP,5384906.53,-1576770.73,3023828.01,JAVAD TRE_G2T DELTA,TRM57971.00,INTERNAL
LMMF00MTQ,2993387.952,-5399363.731,1596748.042,TRIMBLE ALLOY,TRM57971.00,INTERNAL
LPAL00ESP,5326648.0,-1719828.0,3052056.0,LEICA GRX1200GGPRO,LEIAT504GG,INTERNAL
LPGS00ARG,2780102.9896,-4437418.9149,-3629404.5253,JAVAD TRE_3,JAVRINGANT_G5T,INTERNAL
LROC00FRA,4424632.8,-94175.5,4577543.9,LEICA GR25,ASH701945B_M,INTERNAL
M0SE00ITA,4642432.5,1028629.4,4236854.2,LEICA GR25,LEIAR25.R4,EXTERNAL RUBIDIUM
MAC100AUS,-3464038.4875,1334172.7432,-5169224.4229,SEPT POLARX5,JAVRINGANT_DM,INTERNAL
MAD200ESP,4849202.3989,-360328.9943,4114913.1884,ASHTECH Z-XII3T,AOAD/M_T,EXTERNAL H-MASER
MADR00ESP,4849202.394,-360328.9929,4114913.1862,JAVAD TRE_G3TH DELTA,AOAD/M_T,EXTERNAL
MAG000RUS,-2825810.152,1581233.0113,5477005.6213,ASHTECH Z-XII3,ASH700936D_M,INTERNAL
MAJU00MHL,-6257572.5057,950332.3662,785215.1556,SEPT POLARX4TR,JAVRINGANT_DM,INTERNAL
MAL200KEN,4865385.694,4110717.189,-331137.637,SEPT POLARX5,LEIAR25.R4,INTERNAL 
